gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
3819751287;Acianthera polystachya;6.43324;-75.63153;SOUTH_AMERICA;CO
3819751507;Acianthera lojae;5.18721;-76.07029;SOUTH_AMERICA;CO
3819751569;Acianthera serratifolia;6.43324;-75.63153;SOUTH_AMERICA;CO
3819752650;Acianthera polystachya;;;SOUTH_AMERICA;CO
3819752727;Acianthera gracilis;;;SOUTH_AMERICA;CO
3819752758;Acianthera sicaria;5.70084;-74.74100;SOUTH_AMERICA;CO
3819752759;Acianthera sicaria;6.28194;-75.69053;SOUTH_AMERICA;CO
3819753112;Acianthera polystachya;6.21832;-75.63737;SOUTH_AMERICA;CO
3819753346;Acianthera;5.37106;-75.76069;SOUTH_AMERICA;CO
3819753817;Acianthera geminicaulina;;;SOUTH_AMERICA;CO
3819753823;Acianthera polystachya;;;SOUTH_AMERICA;CO
3819754190;Acianthera rodrigoi;6.91658;-75.67853;SOUTH_AMERICA;CO
3819754487;Acianthera polystachya;;;SOUTH_AMERICA;CO
3819754488;Acianthera polystachya;;;SOUTH_AMERICA;CO
3819754504;Acianthera;6.60000;-76.30000;SOUTH_AMERICA;CO
3819755156;Acianthera polystachya;6.12998;-75.58005;SOUTH_AMERICA;CO
3819755772;Acianthera polystachya;;;SOUTH_AMERICA;CO
3846935518;Acianthera barthelemyi;3.92404;-53.23477;SOUTH_AMERICA;GF
3846973656;Acianthera fockei;3.92404;-53.23477;SOUTH_AMERICA;GF
3846986234;Acianthera yauaperyensis;3.92404;-53.23477;SOUTH_AMERICA;GF
3847010626;Acianthera ciliata;3.92404;-53.23477;SOUTH_AMERICA;GF
3847034386;Acianthera pubescens;3.92404;-53.23477;SOUTH_AMERICA;GF
3847051614;Acianthera erinacea;3.92404;-53.23477;SOUTH_AMERICA;GF
3858294019;Acianthera sonderiana;-26.11714;-51.66426;SOUTH_AMERICA;BR
3865412874;Acianthera pubescens;;;SOUTH_AMERICA;PY
3868111709;Acianthera;;;SOUTH_AMERICA;BR
3868111792;Acianthera prolifera;;;SOUTH_AMERICA;BR
3868112192;Acianthera;;;SOUTH_AMERICA;BR
3868135445;Acianthera hygrophila;-25.40485;-49.30489;SOUTH_AMERICA;BR
3868135718;Acianthera sonderiana;-25.43630;-49.34281;SOUTH_AMERICA;BR
3868136018;Acianthera saundersiana;-25.23878;-48.83282;SOUTH_AMERICA;BR
3868136323;Acianthera hatschbachii;-25.67588;-49.53858;SOUTH_AMERICA;BR
